Date,DOW,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct
2023-08-09,Wed,193,45767.06,237.135025906735,135.006076696165,56.932153392330385
2023-08-10,Thu,212,51590.6799999999,243.352264150943,152.184896755162,62.53687315634219
2023-08-11,Fri,204,54506.99,267.19112745098,160.787581120943,60.17699115044248
2023-08-12,Sat,194,51001.6,262.894845360824,150.447197640118,57.227138643067846
2023-08-13,Sun,178,43520.61,244.497808988764,128.379380530973,52.50737463126843
2023-08-14,Mon,152,42697.8999999999,280.907236842105,125.952507374631,44.83775811209439
2023-08-15,Tue,132,37237.92,282.105454545454,109.846371681415,38.93805309734513
2023-08-16,Wed,125,37741.24,301.92992,111.331091445427,36.87315634218289
2023-08-17,Thu,149,40550.6099999999,272.151744966442,119.61831858407,43.95280235988201
2023-08-18,Fri,139,36850.2399999999,265.109640287769,108.702772861356,41.00294985250738
2023-08-19,Sat,131,35824.81,273.471832061068,105.677905604719,38.64306784660767
2023-08-20,Sun,112,33145.17,295.939017857142,97.7733628318584,33.03834808259587
2023-08-21,Mon,110,32092.73,291.75209090909,94.668820058997,32.448377581120944
2023-08-22,Tue,133,38985.28,293.122406015037,115.000825958702,39.233038348082594
2023-08-23,Wed,124,35878.89,289.345887096774,105.837433628318,36.57817109144543
2023-08-24,Thu,142,42478.68,299.145633802816,125.305840707964,41.88790560471977
2023-08-25,Fri,119,35590.4799999999,299.079663865546,104.986666666666,35.10324483775811
2023-08-26,Sat,108,30909.61,286.200092592592,91.178790560472,31.858407079646017
2023-08-27,Sun,97,26942.27,277.755360824742,79.4757227138643,28.613569321533923
2023-08-28,Mon,105,29674.87,282.617809523809,87.5364896755162,30.973451327433626
2023-08-29,Tue,123,34301.6899999999,278.875528455284,101.184926253687,36.283185840707965
2023-08-30,Wed,141,40666.97,288.418226950354,119.961563421828,41.5929203539823
2023-08-31,Thu,124,34924.11,281.646048387096,103.020973451327,36.57817109144543
2023-09-01,Fri,114,34961.4999999999,306.679824561403,103.131268436578,33.6283185840708
2023-09-02,Sat,116,35622.35,307.089224137931,105.080678466076,34.21828908554572
2023-09-03,Sun,170,54084.81,318.14594117647,159.54221238938,50.14749262536873
2023-09-04,Mon,173,56411.58,326.078497109826,166.405840707964,51.03244837758112
2023-09-05,Tue,166,54350.09,327.410180722891,160.324749262536,48.96755162241888
2023-09-06,Wed,151,49357.47,326.870662251655,145.597256637168,44.54277286135693
2023-09-07,Thu,126,41099.07,326.183095238095,121.236194690265,37.16814159292036
2023-09-08,Fri,116,39602.02,341.396724137931,116.8201179941,34.21828908554572
2023-09-09,Sat,107,34110.82,318.792710280373,100.621887905604,31.563421828908556
2023-09-10,Sun,104,33842.54,325.409038461538,99.8305014749262,30.678466076696164
